in s,C1 in V,C2 in V
-5.96736E-02,8.80523E+00,1.54492E+01
-5.96724E-02,8.78570E+00,1.54492E+01
-5.96712E-02,8.78570E+00,1.54492E+01
-5.96700E-02,8.78570E+00,1.54883E+01
-5.96688E-02,8.74664E+00,1.55664E+01
-5.96676E-02,8.82477E+00,1.53711E+01
-5.96664E-02,8.84430E+00,1.54492E+01
-5.96652E-02,8.80523E+00,1.54102E+01
-5.96640E-02,8.78570E+00,1.54492E+01
-5.96628E-02,8.86383E+00,1.55664E+01
-5.96616E-02,8.74664E+00,1.54492E+01
-5.96604E-02,8.84430E+00,1.56445E+01
-5.96592E-02,8.82477E+00,1.54883E+01
-5.96580E-02,8.82477E+00,1.55273E+01
-5.96568E-02,8.78570E+00,1.54492E+01
-5.96556E-02,8.72711E+00,1.54492E+01
-5.96544E-02,8.82477E+00,1.54883E+01
-5.96532E-02,8.78570E+00,1.54492E+01
-5.96520E-02,8.80523E+00,1.55273E+01
-5.96508E-02,8.78570E+00,1.55664E+01
-5.96496E-02,8.80523E+00,1.54883E+01
-5.96484E-02,8.78570E+00,1.53711E+01
-5.96472E-02,8.86383E+00,1.54492E+01
-5.96460E-02,8.78570E+00,1.54492E+01
-5.96448E-02,8.80523E+00,1.56055E+01
-5.96436E-02,8.88336E+00,1.55273E+01
-5.96424E-02,8.80523E+00,1.56055E+01
-5.96412E-02,8.80523E+00,1.54102E+01
-5.96400E-02,8.82477E+00,1.54492E+01
-5.96388E-02,8.80523E+00,1.54102E+01
-5.96376E-02,8.78570E+00,1.56055E+01
-5.96364E-02,8.80523E+00,1.55664E+01
-5.96352E-02,8.80523E+00,1.54492E+01
-5.96340E-02,8.78570E+00,1.55273E+01
-5.96328E-02,8.82477E+00,1.55664E+01
-5.96316E-02,8.82477E+00,1.54883E+01
-5.96304E-02,8.80523E+00,1.54492E+01
-5.96292E-02,8.84430E+00,1.54102E+01
-5.96280E-02,8.78570E+00,1.54492E+01
-5.96268E-02,8.80523E+00,1.54883E+01
-5.96256E-02,8.80523E+00,1.55664E+01
-5.96244E-02,8.76617E+00,1.55273E+01
-5.96232E-02,8.78570E+00,1.54102E+01
-5.96220E-02,8.80523E+00,1.54492E+01
-5.96208E-02,8.80523E+00,1.54102E+01
-5.96196E-02,8.82477E+00,1.53711E+01
-5.96184E-02,8.82477E+00,1.54492E+01
-5.96172E-02,8.80523E+00,1.54883E+01
-5.96160E-02,8.78570E+00,1.54102E+01
-5.96148E-02,8.84430E+00,1.54492E+01
-5.96136E-02,8.84430E+00,1.55273E+01
-5.96124E-02,8.86383E+00,1.54883E+01
-5.96112E-02,8.78570E+00,1.55664E+01
-5.96100E-02,8.84430E+00,1.55664E+01
-5.96088E-02,8.84430E+00,1.55664E+01
-5.96076E-02,8.78570E+00,1.55273E+01
-5.96064E-02,8.82477E+00,1.54883E+01
-5.96052E-02,8.88336E+00,1.55273E+01
-5.96040E-02,8.80523E+00,1.55273E+01
-5.96028E-02,8.72711E+00,1.54102E+01
-5.96016E-02,8.84430E+00,1.55664E+01
-5.96004E-02,8.86383E+00,1.54492E+01
-5.95992E-02,8.86383E+00,1.55664E+01
-5.95980E-02,8.78570E+00,1.54883E+01
-5.95968E-02,8.84430E+00,1.55664E+01
-5.95956E-02,8.84430E+00,1.55664E+01
-5.95944E-02,8.86383E+00,1.54883E+01
-5.95932E-02,8.76617E+00,1.54102E+01
-5.95920E-02,8.74664E+00,1.54102E+01
-5.95908E-02,8.88336E+00,1.55273E+01
-5.95896E-02,8.76617E+00,1.55273E+01
-5.95884E-02,8.78570E+00,1.55664E+01
