in s,C1 in V,C2 in V
-8.968500E-02,1.17740E+01,1.45508E+01
-8.968320E-02,1.16763E+01,1.45117E+01
-8.968140E-02,1.17740E+01,1.45117E+01
-8.967960E-02,1.17349E+01,1.44727E+01
-8.967780E-02,1.17740E+01,1.44336E+01
-8.967600E-02,1.17935E+01,1.44336E+01
-8.967420E-02,1.17349E+01,1.43555E+01
-8.967240E-02,1.17935E+01,1.43945E+01
-8.967060E-02,1.17545E+01,1.44727E+01
-8.966880E-02,1.17154E+01,1.43945E+01
-8.966700E-02,1.17545E+01,1.45898E+01
-8.966520E-02,1.17545E+01,1.45508E+01
-8.966340E-02,1.17545E+01,1.46680E+01
-8.966160E-02,1.17935E+01,1.45898E+01
-8.965980E-02,1.17349E+01,1.43945E+01
-8.965800E-02,1.17740E+01,1.45508E+01
-8.965620E-02,1.17349E+01,1.45508E+01
-8.965440E-02,1.17740E+01,1.46289E+01
-8.965260E-02,1.17740E+01,1.44336E+01
-8.965080E-02,1.16959E+01,1.44336E+01
-8.964900E-02,1.16959E+01,1.45508E+01
-8.964720E-02,1.17740E+01,1.44336E+01
-8.964540E-02,1.17349E+01,1.43555E+01
-8.964360E-02,1.17935E+01,1.43164E+01
-8.964180E-02,1.16763E+01,1.44336E+01
-8.964000E-02,1.18716E+01,1.44727E+01
-8.963820E-02,1.17349E+01,1.43555E+01
-8.963640E-02,1.17154E+01,1.43945E+01
-8.963460E-02,1.17545E+01,1.45117E+01
-8.963280E-02,1.17935E+01,1.45898E+01
-8.963100E-02,1.17545E+01,1.44727E+01
-8.962920E-02,1.18130E+01,1.43555E+01
-8.962740E-02,1.17349E+01,1.43555E+01
-8.962560E-02,1.17154E+01,1.44336E+01
-8.962380E-02,1.17154E+01,1.43945E+01
-8.962200E-02,1.17545E+01,1.45117E+01
-8.962020E-02,1.17740E+01,1.45508E+01
-8.961840E-02,1.17935E+01,1.46680E+01
-8.961660E-02,1.17935E+01,1.45898E+01
-8.961480E-02,1.16763E+01,1.46289E+01
-8.961300E-02,1.17349E+01,1.45117E+01
-8.961120E-02,1.17349E+01,1.44727E+01
-8.960940E-02,1.17154E+01,1.43555E+01
-8.960760E-02,1.17349E+01,1.43945E+01
-8.960580E-02,1.17349E+01,1.43164E+01
-8.960400E-02,1.17935E+01,1.43945E+01
-8.960220E-02,1.17740E+01,1.43164E+01
-8.960040E-02,1.17740E+01,1.43164E+01
-8.959860E-02,1.17545E+01,1.42773E+01
-8.959680E-02,1.18521E+01,1.42773E+01
-8.959500E-02,1.16959E+01,1.44336E+01
-8.959320E-02,1.17349E+01,1.45508E+01
-8.959140E-02,1.18326E+01,1.43164E+01
-8.958960E-02,1.17349E+01,1.43164E+01
-8.958780E-02,1.17740E+01,1.43945E+01
-8.958600E-02,1.17935E+01,1.41992E+01
-8.958420E-02,1.17740E+01,1.42773E+01
-8.958240E-02,1.17740E+01,1.43555E+01
-8.958060E-02,1.17545E+01,1.42773E+01
-8.957880E-02,1.17349E+01,1.43945E+01
-8.957700E-02,1.18326E+01,1.43945E+01
-8.957520E-02,1.17154E+01,1.43945E+01
-8.957340E-02,1.17935E+01,1.44336E+01
-8.957160E-02,1.18521E+01,1.42773E+01
-8.956980E-02,1.17545E+01,1.43555E+01
-8.956800E-02,1.17349E+01,1.43555E+01
-8.956620E-02,1.17740E+01,1.41992E+01
-8.956440E-02,1.17349E+01,1.43555E+01
-8.956260E-02,1.17740E+01,1.43945E+01
-8.956080E-02,1.18326E+01,1.43945E+01
-8.955900E-02,1.17545E+01,1.44336E+01
-8.955720E-02,1.17740E+01,1.44336E+01
-8.955540E-02,1.17545E+01,1.45508E+01
-8.955360E-02,1.17545E+01,1.44727E+01
