in s,C1 in V,C2 in V
-2.382672E+00,7.65289E+00,8.33984E+00
-2.382624E+00,7.55523E+00,8.30078E+00
-2.382576E+00,7.57477E+00,8.33984E+00
-2.382528E+00,7.65289E+00,8.41797E+00
-2.382480E+00,7.61383E+00,8.53516E+00
-2.382432E+00,7.65289E+00,8.30078E+00
-2.382384E+00,7.61383E+00,8.41797E+00
-2.382336E+00,7.45758E+00,8.37891E+00
-2.382288E+00,7.65289E+00,8.33984E+00
-2.382240E+00,7.55523E+00,8.49609E+00
-2.382192E+00,7.67242E+00,8.45703E+00
-2.382144E+00,7.63336E+00,8.37891E+00
-2.382096E+00,7.61383E+00,8.41797E+00
-2.382048E+00,7.63336E+00,8.53516E+00
-2.382000E+00,7.53570E+00,8.53516E+00
-2.381952E+00,7.61383E+00,8.45703E+00
-2.381904E+00,7.63336E+00,8.53516E+00
-2.381856E+00,7.57477E+00,8.49609E+00
-2.381808E+00,7.57477E+00,8.53516E+00
-2.381760E+00,7.59430E+00,8.53516E+00
-2.381712E+00,7.69195E+00,8.61328E+00
-2.381664E+00,7.57477E+00,8.41797E+00
-2.381616E+00,7.63336E+00,8.53516E+00
-2.381568E+00,7.61383E+00,8.61328E+00
-2.381520E+00,7.63336E+00,8.57422E+00
-2.381472E+00,7.65289E+00,8.65234E+00
-2.381424E+00,7.61383E+00,8.65234E+00
-2.381376E+00,7.63336E+00,8.69141E+00
-2.381328E+00,7.57477E+00,8.57422E+00
-2.381280E+00,7.57477E+00,8.65234E+00
-2.381232E+00,7.53570E+00,8.65234E+00
-2.381184E+00,7.65289E+00,8.69141E+00
-2.381136E+00,7.59430E+00,8.69141E+00
-2.381088E+00,7.63336E+00,8.69141E+00
-2.381040E+00,7.63336E+00,8.69141E+00
-2.380992E+00,7.65289E+00,8.73047E+00
-2.380944E+00,7.63336E+00,8.80859E+00
-2.380896E+00,7.55523E+00,8.65234E+00
-2.380848E+00,7.59430E+00,8.61328E+00
-2.380800E+00,7.67242E+00,8.84766E+00
-2.380752E+00,7.63336E+00,8.76953E+00
-2.380704E+00,7.59430E+00,8.73047E+00
-2.380656E+00,7.57477E+00,8.76953E+00
-2.380608E+00,7.63336E+00,8.73047E+00
-2.380560E+00,7.65289E+00,8.69141E+00
-2.380512E+00,7.63336E+00,8.57422E+00
-2.380464E+00,7.63336E+00,8.69141E+00
-2.380416E+00,7.61383E+00,8.80859E+00
-2.380368E+00,7.59430E+00,8.84766E+00
-2.380320E+00,7.61383E+00,8.80859E+00
-2.380272E+00,7.57477E+00,8.80859E+00
-2.380224E+00,7.57477E+00,8.80859E+00
-2.380176E+00,7.65289E+00,8.80859E+00
-2.380128E+00,7.57477E+00,8.80859E+00
-2.380080E+00,7.57477E+00,8.76953E+00
-2.380032E+00,7.57477E+00,8.88672E+00
-2.379984E+00,7.63336E+00,8.69141E+00
-2.379936E+00,7.57477E+00,8.80859E+00
-2.379888E+00,7.59430E+00,8.92578E+00
-2.379840E+00,7.65289E+00,8.84766E+00
-2.379792E+00,7.65289E+00,8.84766E+00
-2.379744E+00,7.65289E+00,8.80859E+00
-2.379696E+00,7.57477E+00,8.88672E+00
-2.379648E+00,7.71148E+00,8.80859E+00
-2.379600E+00,7.61383E+00,8.88672E+00
-2.379552E+00,7.61383E+00,8.80859E+00
-2.379504E+00,7.65289E+00,8.80859E+00
-2.379456E+00,7.61383E+00,8.92578E+00
-2.379408E+00,7.63336E+00,8.88672E+00
-2.379360E+00,7.65289E+00,8.88672E+00
-2.379312E+00,7.61383E+00,8.84766E+00
-2.379264E+00,7.57477E+00,8.84766E+00
-2.379216E+00,7.63336E+00,8.76953E+00
-2.379168E+00,7.69195E+00,8.88672E+00
-2.379120E+00,7.71148E+00,8.92578E+00
-2.379072E+00,7.65289E+00,8.73047E+00
-2.379024E+00,7.67242E+00,8.76953E+00
-2.378976E+00,7.67242E+00,8.76953E+00
-2.378928E+00,7.63336E+00,8.92578E+00
-2.378880E+00,7.63336E+00,8.84766E+00
-2.378832E+00,7.65289E+00,8.84766E+00
-2.378784E+00,7.57477E+00,8.80859E+00
-2.378736E+00,7.59430E+00,8.84766E+00
-2.378688E+00,7.67242E+00,8.80859E+00
-2.378640E+00,7.61383E+00,8.80859E+00
-2.378592E+00,7.65289E+00,8.76953E+00
-2.378544E+00,7.63336E+00,8.88672E+00
-2.378496E+00,7.67242E+00,8.65234E+00
-2.378448E+00,7.63336E+00,8.84766E+00
-2.378400E+00,7.75055E+00,8.80859E+00
-2.378352E+00,7.65289E+00,8.88672E+00
-2.378304E+00,7.57477E+00,8.80859E+00
-2.378256E+00,7.59430E+00,8.80859E+00
-2.378208E+00,7.69195E+00,8.69141E+00
-2.378160E+00,7.65289E+00,8.76953E+00
-2.378112E+00,7.63336E+00,8.80859E+00
-2.378064E+00,7.65289E+00,8.84766E+00
-2.378016E+00,7.63336E+00,8.53516E+00
-2.377968E+00,7.63336E+00,8.65234E+00
-2.377920E+00,7.67242E+00,8.80859E+00
-2.377872E+00,7.57477E+00,8.61328E+00
-2.377824E+00,7.59430E+00,8.41797E+00
-2.377776E+00,7.57477E+00,8.65234E+00
-2.377728E+00,7.61383E+00,8.69141E+00
-2.377680E+00,7.67242E+00,8.65234E+00
-2.377632E+00,7.63336E+00,8.61328E+00
-2.377584E+00,7.59430E+00,8.57422E+00
-2.377536E+00,7.63336E+00,8.57422E+00
-2.377488E+00,7.59430E+00,8.49609E+00
-2.377440E+00,7.61383E+00,8.53516E+00
-2.377392E+00,7.65289E+00,8.53516E+00
-2.377344E+00,7.65289E+00,8.37891E+00
-2.377296E+00,7.65289E+00,8.61328E+00
-2.377248E+00,7.65289E+00,8.41797E+00
-2.377200E+00,7.63336E+00,8.53516E+00
-2.377152E+00,7.57477E+00,8.26172E+00
-2.377104E+00,7.59430E+00,8.41797E+00
-2.377056E+00,7.65289E+00,8.49609E+00
-2.377008E+00,7.65289E+00,8.37891E+00
-2.376960E+00,7.65289E+00,8.26172E+00
-2.376912E+00,7.63336E+00,8.53516E+00
-2.376864E+00,7.65289E+00,8.37891E+00
-2.376816E+00,7.57477E+00,8.33984E+00
-2.376768E+00,7.65289E+00,8.41797E+00
-2.376720E+00,7.67242E+00,8.41797E+00
-2.376672E+00,7.63336E+00,8.37891E+00
-2.376624E+00,7.65289E+00,8.49609E+00
-2.376576E+00,7.59430E+00,8.45703E+00
-2.376528E+00,7.57477E+00,8.26172E+00
-2.376480E+00,7.63336E+00,8.33984E+00
-2.376432E+00,7.63336E+00,8.18359E+00
-2.376384E+00,7.65289E+00,8.33984E+00
-2.376336E+00,7.59430E+00,8.33984E+00
-2.376288E+00,7.63336E+00,8.33984E+00
-2.376240E+00,7.67242E+00,8.26172E+00
-2.376192E+00,7.59430E+00,8.37891E+00
-2.376144E+00,7.67242E+00,8.26172E+00
-2.376096E+00,7.65289E+00,8.37891E+00
-2.376048E+00,7.69195E+00,8.26172E+00
-2.376000E+00,7.65289E+00,8.26172E+00
-2.375952E+00,7.65289E+00,8.26172E+00
-2.375904E+00,7.65289E+00,8.37891E+00
-2.375856E+00,7.67242E+00,8.33984E+00
-2.375808E+00,7.65289E+00,8.26172E+00
-2.375760E+00,7.67242E+00,8.41797E+00
-2.375712E+00,7.65289E+00,8.26172E+00
-2.375664E+00,7.63336E+00,8.26172E+00
-2.375616E+00,7.75055E+00,8.37891E+00
-2.375568E+00,7.63336E+00,8.30078E+00
-2.375520E+00,7.59430E+00,8.18359E+00
-2.375472E+00,7.71148E+00,8.30078E+00
-2.375424E+00,7.63336E+00,8.37891E+00
-2.375376E+00,7.63336E+00,8.33984E+00
-2.375328E+00,7.63336E+00,8.37891E+00
-2.375280E+00,7.65289E+00,8.37891E+00
-2.375232E+00,7.67242E+00,8.37891E+00
-2.375184E+00,7.65289E+00,8.30078E+00
-2.375136E+00,7.57477E+00,8.26172E+00
-2.375088E+00,7.71148E+00,8.26172E+00
-2.375040E+00,7.61383E+00,8.26172E+00
-2.374992E+00,7.59430E+00,8.41797E+00
-2.374944E+00,7.65289E+00,8.37891E+00
-2.374896E+00,7.65289E+00,8.45703E+00
-2.374848E+00,7.59430E+00,8.37891E+00
-2.374800E+00,7.67242E+00,8.30078E+00
-2.374752E+00,7.59430E+00,8.30078E+00
-2.374704E+00,7.59430E+00,8.41797E+00
-2.374656E+00,7.73102E+00,8.41797E+00
-2.374608E+00,7.65289E+00,8.41797E+00
-2.374560E+00,7.67242E+00,8.41797E+00
-2.374512E+00,7.63336E+00,8.41797E+00
-2.374464E+00,7.73102E+00,8.26172E+00
-2.374416E+00,7.77008E+00,8.33984E+00
-2.374368E+00,7.57477E+00,8.49609E+00
-2.374320E+00,7.63336E+00,8.53516E+00
-2.374272E+00,7.67242E+00,8.49609E+00
-2.374224E+00,7.61383E+00,8.41797E+00
-2.374176E+00,7.59430E+00,8.49609E+00
-2.374128E+00,7.73102E+00,8.41797E+00
-2.374080E+00,7.71148E+00,8.53516E+00
-2.374032E+00,7.59430E+00,8.57422E+00
-2.373984E+00,7.78961E+00,8.57422E+00
-2.373936E+00,7.73102E+00,8.61328E+00
-2.373888E+00,7.63336E+00,8.53516E+00
-2.373840E+00,7.65289E+00,8.65234E+00
-2.373792E+00,7.78961E+00,8.49609E+00
-2.373744E+00,7.71148E+00,8.65234E+00
-2.373696E+00,7.65289E+00,8.69141E+00
-2.373648E+00,7.82867E+00,8.65234E+00
-2.373600E+00,7.57477E+00,8.53516E+00
-2.373552E+00,7.75055E+00,8.61328E+00
-2.373504E+00,7.65289E+00,8.61328E+00
-2.373456E+00,7.65289E+00,8.69141E+00
